GT,est
30.5939,17.69282379150391
31.0248,18.13848876953125
31.4557,19.95868377685547
31.4557,18.13848876953125
31.8866,20.50373077392578
31.8866,23.924099731445313
32.7484,24.10547790527344
33.1793,16.7666259765625
33.1793,5.128517150878906
33.6102,16.098501586914065
33.6102,16.7666259765625
34.0411,23.268190002441408
34.0411,18.948672485351562
34.472,23.724407958984376
34.472,20.087109375
34.472,22.17285919189453
34.9029,22.17285919189453
35.7647,22.150006103515626
36.1956,22.150006103515626
36.6265,22.194886779785158
37.0574,22.166336059570312
37.4883,22.099090576171875
37.9192,16.469927978515624
37.9192,22.27936706542969
39.2119,22.340623474121095
39.6428,22.340623474121095
40.0737,22.214204406738283
40.5046,20.237017822265628
40.9355,20.237017822265628
87.9036,26.186297607421878
88.3345,26.186297607421878
88.7654,26.3699951171875
89.1963,26.466583251953125
89.6272,26.6350341796875
30.5939,15.523728942871095
31.0248,15.523728942871095
31.4557,15.523728942871095
31.8866,14.975418090820312
31.8866,15.234158325195313
32.3175,17.796751403808596
33.1793,22.44860076904297
33.6102,23.283601379394533
34.472,12.973281860351562
34.9029,13.019090270996095
35.7647,17.443626403808594
36.1956,17.443626403808594
90.0581,25.97542724609375
103.847,20.654400634765626
104.278,20.654400634765626
104.709,19.869917297363283
105.14,19.73934020996094
30.5939,16.72838897705078
31.0248,15.967520141601563
31.4557,15.967520141601563
31.8866,16.128887939453126
32.7484,19.76197509765625
33.1793,19.76197509765625
34.0411,22.7818115234375
34.472,23.220660400390628
34.472,23.30946502685547
34.9029,23.114680480957034
35.7647,22.069935607910157
36.1956,22.069935607910157
36.6265,21.94819793701172
87.9036,25.148664855957033
88.3345,25.148664855957033
88.7654,25.148664855957033
89.1963,25.148664855957033
89.6272,25.148664855957033
90.0581,26.21156921386719
103.847,25.768862915039065
104.278,26.286608886718753
104.709,23.633563232421878
105.14,23.633563232421878
30.5939,17.611643981933593
31.0248,17.611643981933593
31.4557,17.611643981933593
31.8866,18.13848876953125
32.3175,18.250773620605468
34.0411,23.35958251953125
34.472,23.220660400390628
37.0574,22.22194061279297
37.4883,22.325051879882814
87.9036,25.57982635498047
88.3345,25.57982635498047
88.7654,25.880114746093753
89.1963,25.880114746093753
90.0581,25.35877685546875
30.5939,20.386587524414065
31.0248,20.386587524414065
31.4557,20.386587524414065
31.8866,23.39785308837891
32.7484,24.111289978027344
33.1793,24.111289978027344
34.472,23.552423095703126
35.7647,22.103311157226564
36.1956,22.166336059570312
36.6265,22.27936706542969
37.0574,22.27936706542969
88.3345,26.20863037109375
88.7654,26.395062255859376
89.1963,26.513836669921876
90.0581,26.337994384765626
30.5939,19.581349182128907
31.0248,18.026229858398438
31.4557,18.026229858398438
31.8866,17.882788085937502
32.7484,23.758572387695313
33.1793,23.758572387695313
33.6102,16.73023681640625
33.6102,23.758572387695313
34.0411,22.72970123291016
34.0411,18.605845642089843
34.0411,24.10189208984375
34.472,23.613278198242188
34.9029,23.785321044921876
35.7647,22.63845367431641
36.1956,22.265054321289064
36.6265,22.196089172363283
39.2119,20.10517578125
39.6428,20.05817413330078
40.0737,20.164221191406252
40.5046,24.026899719238283
40.9355,24.026899719238283
42.2282,4.227939605712891
88.3345,26.353628540039065
88.7654,26.526333618164063
89.1963,26.526333618164063
89.6272,26.6350341796875
90.0581,26.30830993652344
90.489,25.972647094726565
